rank,lemma,zipf_freq,evidence,in_workbook
138,fire,5.300,verbnet+brown+wn-primary,yes
139,phone,5.300,verbnet+brown,yes
140,build,5.040,verbnet+brown+wn-primary,yes
141,gonna,5.290,brown,no
142,market,5.290,brown+wn-primary,no
143,near,5.290,brown,no
144,plan,5.290,verbnet+brown+wn-primary,yes
145,accord,3.810,verbnet+brown+wn-primary,yes
146,front,5.280,brown,no
147,kid,4.990,brown,no
148,list,5.280,brown+wn-primary,no
149,ready,5.280,verbnet+brown,yes
150,bring,5.270,verbnet+brown+wn-primary,yes
151,experience,5.270,verbnet+brown+wn-primary,yes
152,hear,5.230,verbnet+brown+wn-primary,yes
153,meet,5.270,verbnet+brown+wn-primary,yes
154,program,5.270,brown,no
155,type,5.270,verbnet+brown,yes
156,chance,5.260,verbnet+brown+wn-primary,yes
157,father,5.260,verbnet+brown,yes
158,march,5.260,verbnet+brown+wn-primary,yes
159,process,5.260,brown+wn-primary,no
160,study,5.260,verbnet+brown+wn-primary,yes
161,word,5.260,brown,no
162,action,5.250,verbnet,no
163,clear,5.250,verbnet+brown+wn-primary,yes
164,board,5.240,verbnet+brown+wn-primary,yes
165,cost,5.240,verbnet+brown+wn-primary,yes
166,cut,5.240,verbnet+brown+wn-primary,yes
167,field,5.240,brown,no
168,hold,5.190,verbnet+brown+wn-primary,yes
169,mother,5.240,verbnet,yes
170,seem,5.080,verbnet+brown+wn-primary,no
171,fight,5.230,verbnet+brown+wn-primary,yes
172,fine,5.230,verbnet,yes
173,force,5.230,verbnet+brown+wn-primary,yes
174,issue,5.230,verbnet+brown+wn-primary,yes
175,price,5.230,verbnet+brown,yes
176,rest,5.230,verbnet+brown+wn-primary,yes
177,result,5.180,verbnet+brown+wn-primary,yes
178,space,5.230,brown,no
179,summer,5.230,verbnet+wn-primary,no
180,term,5.230,verbnet+brown,yes
181,date,5.220,verbnet+brown+wn-primary,yes
182,kill,5.090,verbnet+brown+wn-primary,yes
183,land,5.220,verbnet+brown+wn-primary,yes
184,miss,5.220,verbnet+brown+wn-primary,yes
185,project,5.220,verbnet+brown+wn-primary,yes
186,sex,5.220,wn-primary,no
187,shoot,4.730,verbnet+brown+wn-primary,yes
188,account,5.210,brown,no
189,eye,5.020,verbnet+brown,yes
190,parent,4.570,wn-primary,no
191,position,5.210,verbnet+brown,yes
192,record,5.210,verbnet+brown+wn-primary,yes
193,total,5.210,verbnet+brown+wn-primary,yes
194,club,5.200,verbnet+wn-primary,yes
195,die,5.070,verbnet+brown+wn-primary,yes
196,film,5.200,verbnet+brown,yes
197,happen,5.190,verbnet+brown+wn-primary,yes
198,lead,5.200,verbnet+brown+wn-primary,yes
199,perfect,5.200,verbnet+brown,yes
200,share,5.200,brown+wn-primary,no
201,center,5.190,verbnet+brown,no
202,couple,5.190,verbnet+brown+wn-primary,yes
203,return,5.190,verbnet+brown+wn-primary,yes
204,sense,5.190,verbnet+brown+wn-primary,yes
205,star,5.190,verbnet+brown,yes
206,test,5.190,verbnet+brown+wn-primary,yes
207,view,5.190,verbnet+brown,yes
208,break,5.180,verbnet+brown+wn-primary,yes
209,present,5.180,verbnet+brown+wn-primary,yes
210,train,4.960,verbnet+brown+wn-primary,yes
211,wish,5.180,verbnet+brown+wn-primary,yes
212,answer,5.170,verbnet+brown+wn-primary,yes
213,design,5.170,verbnet+brown+wn-primary,yes
214,guess,5.170,verbnet+brown+wn-primary,yes
215,interest,5.170,verbnet+brown+wn-primary,yes
216,learn,5.170,verbnet+brown+wn-primary,yes
217,add,5.090,verbnet+brown+wn-primary,yes
218,average,5.160,verbnet+brown,yes
219,bank,5.160,verbnet+brown+wn-primary,yes
220,park,5.160,verbnet+brown,yes
221,press,5.160,verbnet+brown+wn-primary,yes
222,receive,4.850,verbnet+brown+wn-primary,yes
223,send,5.110,verbnet+brown+wn-primary,yes
224,bill,5.150,verbnet+brown,yes
225,cool,5.150,verbnet+brown,yes
226,grind,3.940,verbnet+brown+wn-primary,yes
227,provide,5.150,verbnet+brown+wn-primary,yes
228,sound,5.150,verbnet+brown,yes
229,source,5.150,verbnet,yes
230,value,5.150,verbnet+brown+wn-primary,yes
231,evidence,5.140,verbnet+brown+wn-primary,no
232,rate,5.140,verbnet+brown+wn-primary,yes
233,round,5.140,verbnet+brown,yes
234,save,5.140,verbnet+brown+wn-primary,yes
235,stand,5.140,verbnet+brown+wn-primary,yes
236,stuff,5.140,verbnet+brown+wn-primary,yes
237,tax,5.140,verbnet+brown+wn-primary,yes
238,amount,5.130,verbnet+brown+wn-primary,yes
239,drive,5.130,verbnet+brown+wn-primary,yes
240,eat,5.130,verbnet+brown+wn-primary,yes
241,fall,5.130,verbnet+brown+wn-primary,yes
242,felt,5.130,brown+wn-primary,no
243,green,5.130,verbnet,yes
244,match,5.130,verbnet+brown+wn-primary,yes
