Verb,VerbNet Class,Semantic Domain,Situation,WN_Count,WN_Status,WN_Synset_01,WN_Gloss_01,WN_Synset_02,WN_Gloss_02,WN_Synset_03,WN_Gloss_03,WN_Synset_04,WN_Gloss_04,WN_Synset_05,WN_Gloss_05,WN_Synset_06,WN_Gloss_06,WN_Synset_07,WN_Gloss_07,WN_Synset_08,WN_Gloss_08,WN_Synset_09,WN_Gloss_09,WN_Synset_10,WN_Gloss_10
enclose,contiguous_location-47.8,Location,Location,2,Match,enclose.v.03,surround completely,envelop.v.01,enclose or enfold completely with or as if with a covering,,,,,,,,,,,,,,,,
encounter,encounter-30.5,Perception,Sense,1,Match,find.v.01,"come upon, as if by accident; meet with",,,,,,,,,,,,,,,,,,
encourage,advise-37.9,Communication,Communicate,1,Match,encourage.v.02,inspire with confidence; give hope or courage to,,,,,,,,,,,,,,,,,,
encourage,amuse-31.1,Affect,Affect,1,Match,encourage.v.02,inspire with confidence; give hope or courage to,,,,,,,,,,,,,,,,,,
encourage,urge-58.1,Communication,Request,1,Match,encourage.v.03,spur on,,,,,,,,,,,,,,,,,,
endorse,illustrate-25.3,Incremental,Basic Incremental,1,Match,endorse.v.04,sign as evidence of legal transfer,,,,,,,,,,,,,,,,,,
endure,exist-47.1,Existence,Existence,2,Match,survive.v.01,continue to live through hardship or adversity,prevail.v.03,continue to exist,,,,,,,,,,,,,,,,
energize,other_cos-45.4,Transformation,Basic Change of State,1,Match,stimulate.v.04,cause to be alert and energetic,,,,,,,,,,,,,,,,,,
engage,amuse-31.1,Affect,Affect,1,Match,absorb.v.09,consume all of one's attention or time,,,,,,,,,,,,,,,,,,
engage,hire-13.5.3,Affiliation,Cause Membership,1,Match,hire.v.01,engage or hire for work,,,,,,,,,,,,,,,,,,
engender,engender-27.1,Causation,Cause and Effect,1,Match,engender.v.01,call forth,,,,,,,,,,,,,,,,,,
engrave,image_impression-25.1,Creation,Image Creation,2,Match,engrave.v.03,carve or cut into a block used for printing or print from such a block,scratch.v.07,"carve, cut, or etch into a material or surface",,,,,,,,,,,,,,,,
engross,amuse-31.1,Affect,Affect,2,Match,steep.v.01,devote (oneself) fully to,absorb.v.09,consume all of one's attention or time,,,,,,,,,,,,,,,,
enjoy,admire-31.2,Attend,Attend,3,Match,enjoy.v.01,derive or receive pleasure from; get enjoyment from; take pleasure in,delight.v.02,take delight in,love.v.02,get pleasure from,,,,,,,,,,,,,,
enlarge,other_cos-45.4,Transformation,Basic Change of State,3,Match,blow_up.v.02,make large,enlarge.v.01,make larger,enlarge.v.03,become larger or bigger,,,,,,,,,,,,,,
enlighten,amuse-31.1,Affect,Affect,1,Match,enlighten.v.02,give spiritual insight to; in religion,,,,,,,,,,,,,,,,,,
enlist,hire-13.5.3,Affiliation,Cause Membership,2,Match,engage.v.08,hire for work or assistance,enlist.v.03,engage somebody to enter the army,,,,,,,,,,,,,,,,
enquire,inquire-37.1.2,Communication,Communicate,1,Match,ask.v.01,inquire about,,,,,,,,,,,,,,,,,,
enrage,amuse-31.1,Affect,Affect,1,Match,enrage.v.01,put into a rage; make violently angry,,,,,,,,,,,,,,,,,,
enrapture,amuse-31.1,Affect,Affect,1,Match,enchant.v.01,hold spellbound,,,,,,,,,,,,,,,,,,
enshroud,contiguous_location-47.8,Location,Location,1,Match,shroud.v.01,cover as if with a shroud,,,,,,,,,,,,,,,,,,
ensnare,trick-59.2,Affiliation,Inducive,1,Match,ensnare.v.01,take or catch as if in a snare or trap,,,,,,,,,,,,,,,,,,
ensue,occur-48.3,Existence,Existence,1,Match,result.v.01,"issue or terminate (in a specified way, state, etc.); end",,,,,,,,,,,,,,,,,,
ensure,ensure-99,Affiliation,Defend,1,Match,guarantee.v.02,make certain of,,,,,,,,,,,,,,,,,,
enter,escape-51.1,Motion,Basic Motion,2,Match,enter.v.01,to come or go into,enter.v.06,come on stage,,,,,,,,,,,,,,,,
entertain,amuse-31.1,Affect,Affect,1,Match,entertain.v.01,provide entertainment for,,,,,,,,,,,,,,,,,,
enthrall,amuse-31.1,Affect,Affect,1,Match,enchant.v.01,hold spellbound,,,,,,,,,,,,,,,,,,
enthuse,amuse-31.1,Affect,Affect,1,Match,enthuse.v.01,cause to feel enthusiasm,,,,,,,,,,,,,,,,,,
enthuse,marvel-31.3,Affect,Affect,1,Match,enthuse.v.02,utter with enthusiasm,,,,,,,,,,,,,,,,,,
entice,amuse-31.1,Affect,Affect,1,Match,entice.v.01,provoke someone to do something through (often false or exaggerated) promises or persuasion,,,,,,,,,,,,,,,,,,
entice,lure-59.3,Affiliation,Inducive,1,Match,entice.v.01,provoke someone to do something through (often false or exaggerated) promises or persuasion,,,,,,,,,,,,,,,,,,
entrance,amuse-31.1,Affect,Affect,1,Match,capture.v.02,attract; cause to be enamored,,,,,,,,,,,,,,,,,,
entrap,trick-59.2,Affiliation,Inducive,1,Match,ensnare.v.01,take or catch as if in a snare or trap,,,,,,,,,,,,,,,,,,
entreat,urge-58.1,Communication,Request,1,Match,bid.v.03,ask for or request earnestly,,,,,,,,,,,,,,,,,,
envisage,characterize-29.2,Communication,Statement,1,Match,imagine.v.01,form a mental image of something that is not present or that is not the case,,,,,,,,,,,,,,,,,,
envision,characterize-29.2,Communication,Statement,2,Match,visualize.v.01,imagine; conceive of; see in one's mind,envision.v.02,picture to oneself; imagine possible,,,,,,,,,,,,,,,,
envy,admire-31.2,Attend,Attend,2,Match,envy.v.02,be envious of; set one's heart on,envy.v.01,feel envious towards; admire enviously,,,,,,,,,,,,,,,,
epoxy,tape-22.4,Incremental,Basic Incremental,1,Match,epoxy.v.01,glue with epoxy,,,,,,,,,,,,,,,,,,
equalize,other_cos-45.4,Transformation,Basic Change of State,1,Match,equal.v.03,"make equal, uniform, corresponding, or matching",,,,,,,,,,,,,,,,,,
equip,equip-13.4.2,Possession,Transfer of Possession,1,Match,equip.v.01,provide with (something) usually for a specific purpose,,,,,,,,,,,,,,,,,,
eradicate,remove-10.1,Incremental,Causative Incremental,2,Match,uproot.v.02,"destroy completely, as if down to the roots",eliminate.v.03,kill in large numbers,,,,,,,,,,,,,,,,
erase,wipe_manner-10.4.1,Incremental,Causative Incremental,1,Match,erase.v.02,remove by or as if by rubbing or erasing,,,,,,,,,,,,,,,,,,
eruct,hiccup-40.1.1,Existence,Existence,1,Match,burp.v.01,expel gas from the stomach,,,,,,,,,,,,,,,,,,
erupt,appear-48.1.1,Location,Location,2,Match,erupt.v.02,erupt or intensify suddenly,erupt.v.01,start abruptly,,,,,,,,,,,,,,,,
escape,escape-51.1,Motion,Basic Motion,1,Match,escape.v.01,run away from confinement,,,,,,,,,,,,,,,,,,
escort,accompany-51.7,Motion,Pursuit,2,Match,escort.v.01,accompany as an escort,see.v.22,accompany or escort,,,,,,,,,,,,,,,,
escort,captain-29.8,Affiliation,Role,1,Match,escort.v.01,accompany as an escort,,,,,,,,,,,,,,,,,,
espy,sight-30.2,Perception,Sense,1,Match,descry.v.01,catch sight of,,,,,,,,,,,,,,,,,,
establish,base-97.1,Association,Base and Deduce,1,Match,establish.v.08,use as a basis for; found on,,,,,,,,,,,,,,,,,,
establish,indicate-78,Association,Require and Satisfy,1,Match,prove.v.02,"establish the validity of something, as by an example, explanation or experiment",,,,,,,,,,,,,,,,,,
esteem,admire-31.2,Attend,Attend,1,Match,respect.v.01,regard highly; think much of,,,,,,,,,,,,,,,,,,
esteem,consider-29.9,Cognition,Judge,1,Match,think_of.v.03,look on as or consider,,,,,,,,,,,,,,,,,,
estimate,estimate-34.2,Cognition,Feel,1,Match,estimate.v.01,judge tentatively or form an estimate of (quantities or time),,,,,,,,,,,,,,,,,,
etch,image_impression-25.1,Creation,Image Creation,1,Match,etch.v.01,make an etching of,,,,,,,,,,,,,,,,,,
eulogize,judgment-33.1,Affiliation,Attack,1,Match,eulogize.v.01,praise formally and eloquently,,,,,,,,,,,,,,,,,,
eulogize,judgment-33.1,Cognition,Judge,1,Match,eulogize.v.01,praise formally and eloquently,,,,,,,,,,,,,,,,,,
evacuate,banish-10.2,Affiliation,Cause Membership,2,Match,evacuate.v.03,move people from their homes or country,evacuate.v.01,move out of an unsafe location into safety,,,,,,,,,,,,,,,,
evaluate,assessment-34.1,Cognition,Judge,1,Match,measure.v.04,"evaluate or estimate the nature, quality, ability, extent, or significance of",,,,,,,,,,,,,,,,,,
evaporate,other_cos-45.4,Transformation,Basic Change of State,1,Match,evaporate.v.01,lose or cause to lose liquid by vaporization leaving a more concentrated residue,,,,,,,,,,,,,,,,,,
even,other_cos-45.4,Transformation,Basic Change of State,3,Match,even.v.02,become even or more even,even.v.03,make even or more even,flush.v.04,make level or straight,,,,,,,,,,,,,,
eventuate,occur-48.3,Existence,Existence,1,Match,eventuate.v.01,come out in the end,,,,,,,,,,,,,,,,,,
evict,remove-10.1,Incremental,Causative Incremental,1,Match,evict.v.02,expel from one's property or force to move out by a legal process,,,,,,,,,,,,,,,,,,
eviscerate,debone-10.8,Incremental,Causative Incremental,3,Match,eviscerate.v.02,remove the contents of,resect.v.01,surgically remove a part of a structure or an organ,disembowel.v.01,remove the entrails of,,,,,,,,,,,,,,
evolve,appear-48.1.1,Location,Location,1,Match,evolve.v.02,undergo development or evolution,,,,,,,,,,,,,,,,,,
evolve,grow-26.2.1,Creation,Form,2,Match,evolve.v.02,undergo development or evolution,develop.v.03,gain through experience,,,,,,,,,,,,,,,,
exact,obtain-13.5.2,Possession,Dynamic Possession,1,Match,demand.v.03,claim as due or just,,,,,,,,,,,,,,,,,,
exalt,admire-31.2,Attend,Attend,1,Match,laud.v.01,"praise, glorify, or honor",,,,,,,,,,,,,,,,,,
examine,assessment-34.1,Cognition,Judge,2,Match,examine.v.02,"observe, check out, and look over carefully or inspect",analyze.v.01,consider in detail and subject to an analysis in order to discover essential features or meaning,,,,,,,,,,,,,,,,
examine,investigate-35.4,Volition,Search,3,Match,probe.v.01,question or examine thoroughly and closely,examine.v.02,"observe, check out, and look over carefully or inspect",analyze.v.01,consider in detail and subject to an analysis in order to discover essential features or meaning,,,,,,,,,,,,,,
exasperate,amuse-31.1,Affect,Affect,2,Match,exacerbate.v.02,exasperate or irritate,infuriate.v.01,make furious,,,,,,,,,,,,,,,,
excavate,search-35.2,Volition,Search,1,Match,excavate.v.01,recover through digging,,,,,,,,,,,,,,,,,,
exceed,exceed-90,Association,Require and Satisfy,3,Match,exceed.v.02,be superior or better than some standard,surpass.v.02,be or do something to a greater degree,exceed.v.01,be greater in scope or size than some standard,,,,,,,,,,,,,,
excise,remove-10.1,Incremental,Causative Incremental,2,Match,strike.v.14,remove by erasing or crossing out or as if by drawing a line,excise.v.03,remove by cutting,,,,,,,,,,,,,,,,
excite,amuse-31.1,Affect,Affect,4,Match,arouse.v.07,stimulate sexually,agitate.v.02,"cause to be agitated, excited, or roused",stimulate.v.03,"stir the feelings, emotions, or peace of",excite.v.01,arouse or elicit a feeling,,,,,,,,,,,,
excommunicate,remove-10.1,Incremental,Causative Incremental,1,Match,excommunicate.v.01,exclude from a church or a religious community,,,,,,,,,,,,,,,,,,
excuse,judgment-33.1,Affiliation,Attack,2,Match,excuse.v.06,"excuse, overlook, or make allowances for; be lenient with",apologize.v.02,"defend, explain, clear away, or make excuses for by reasoning",,,,,,,,,,,,,,,,
excuse,judgment-33.1,Cognition,Judge,2,Match,excuse.v.06,"excuse, overlook, or make allowances for; be lenient with",apologize.v.02,"defend, explain, clear away, or make excuses for by reasoning",,,,,,,,,,,,,,,,
execrate,admire-31.2,Attend,Attend,1,Match,abhor.v.01,find repugnant,,,,,,,,,,,,,,,,,,
execute,murder-42.1,Transformation,Causative Change of State,2,Match,execute.v.02,murder in a planned fashion,execute.v.01,kill as a means of socially sanctioned punishment,,,,,,,,,,,,,,,,
exercise,dress-41.1.1,Incremental,Basic Incremental,2,Match,exercise.v.04,do physical exercise,exercise.v.03,give a workout to,,,,,,,,,,,,,,,,
exercise,rehearse-26.8,Creation,Causative Creation,1,Match,drill.v.03,learn by repetition,,,,,,,,,,,,,,,,,,
exert,use-105.1,Force,Manipulate,2,Match,wield.v.01,have and exercise,exert.v.01,put to use,,,,,,,,,,,,,,,,
exhaust,amuse-31.1,Affect,Affect,1,Match,exhaust.v.01,wear out completely,,,,,,,,,,,,,,,,,,
exhilarate,amuse-31.1,Affect,Affect,1,Match,exhilarate.v.01,fill with sublime emotion,,,,,,,,,,,,,,,,,,
exhort,urge-58.1,Communication,Request,1,Match,urge.v.01,force or impel in an indicated direction,,,,,,,,,,,,,,,,,,
exile,banish-10.2,Affiliation,Cause Membership,1,Match,expatriate.v.01,expel from a country,,,,,,,,,,,,,,,,,,
